2024-11-20 18:35:48.862 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  StartupInfoLogger - Starting MovieRatingApplication using Java 21.0.4 with PID 1950096 (/home/tanvir/Documents/Projects/interview102/movie-rating-service/build/classes/java/main started by tanvir in /home/tanvir/Documents/Projects/interview102/movie-rating-service)
2024-11-20 18:35:48.901 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  SpringApplication - No active profile set, falling back to 1 default profile: "default"
2024-11-20 18:35:48.984 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DeferredLog - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-11-20 18:35:48.985 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DeferredLog - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-11-20 18:35:50.801 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-20 18:35:50.909 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 96 ms. Found 1 JPA repository interface.
2024-11-20 18:35:52.501 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  TomcatWebServer - Tomcat initialized with port 8082 (http)
2024-11-20 18:35:52.523 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DirectJDKLog - Initializing ProtocolHandler ["http-nio-8082"]
2024-11-20 18:35:52.526 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DirectJDKLog - Starting service [Tomcat]
2024-11-20 18:35:52.527 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DirectJDKLog - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-11-20 18:35:52.597 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DirectJDKLog - Initializing Spring embedded WebApplicationContext
2024-11-20 18:35:52.597 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3610 ms
2024-11-20 18:35:53.523 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  HikariDataSource - HikariPool-1 - Starting...
2024-11-20 18:35:54.392 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@752fc45b
2024-11-20 18:35:54.409 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  HikariDataSource - HikariPool-1 - Start completed.
2024-11-20 18:35:55.746 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Set default schema name to movieschema
2024-11-20 18:36:01.088 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Reading from movieschema.databasechangelog
2024-11-20 18:36:01.312 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Successfully acquired change log lock
